cycle,source_w,reserve_w,total_bus_load_w,noncompute_w,compute_budget_w,jetson_allow_w,scheduler_mode,adcs_mode,adcs_power_w,wheel_power_w,comms_power_w,thermal_power_w,propulsion_power_w,payload_power_w,pi_power_w,jetson_power_w,jetson_mode,jetson_job_type,truth_pointing_err_deg,est_pointing_err_deg,tracker_conf,tracker_valid,tracked_stars,comms_mode,comms_backlog_bits,payload_mode,payload_active,dataset_ready,dataset_id,dataset_count,acquisition_stage,active_stage,active_stage_n,roi_count,processing_queue,thermal_mode,heater_active,thermal_temp_c,propulsion_mode,propulsion_active,propulsion_thrust_n
66,115.383,20,44.2991,35.2991,45.0632,41.0632,0,"CORRECTING",18.2991,6.29905,4,2,1,10,4,5,"IDLE","none",1.64978,1.42153,0.792206,1,23,"READY",0,"ACQUIRE",1,0,"dataset_2",3,1,0,-1,0,0,"PASSIVE",0,16.53,"IDLE",0,0
67,114.519,20,54.3166,45.3166,36.9018,32.9018,0,"CORRECTING",18.3166,6.31661,4,12,1,10,4,5,"IDLE","none",1.60428,1.39515,0.959947,1,24,"STANDBY",0,"ACQUIRE",1,0,"dataset_2",3,2,0,-1,0,0,"HEATING",1,16.68,"IDLE",0,0
68,113.797,20,37.3396,28.3396,49.093,45.093,0,"TRACKER_DEGRADED",15.3396,6.33961,4,2,1,6,4,5,"IDLE","none",1.57281,1.36764,0.391448,0,12,"STANDBY",0,"READY",0,1,"dataset_3",4,3,0,-1,0,0,"PASSIVE",0,16.65,"IDLE",0,0
69,113.231,20,37.3614,28.3614,48.6525,44.6525,0,"TRACKER_DEGRADED",15.3614,6.36136,4,2,1,6,4,5,"IDLE","none",1.5598,1.36173,0.219629,0,13,"STANDBY",0,"IDLE",0,0,"dataset_3",4,0,0,-1,0,0,"PASSIVE",0,16.62,"IDLE",0,0
70,112.831,20,40.3822,31.3822,46.0863,42.0863,0,"CORRECTING",18.3822,6.38224,4,2,1,6,4,5,"IDLE","none",1.56756,1.38794,0.599993,1,15,"STANDBY",0,"IDLE",0,0,"dataset_3",4,0,0,-1,0,0,"PASSIVE",0,16.59,"IDLE",0,0
71,112.597,20,37.4045,28.4045,48.1445,44.1445,0,"TRACKER_DEGRADED",15.4045,6.40453,4,2,1,6,4,5,"IDLE","none",1.59599,1.42745,0.357831,0,11,"STANDBY",0,"IDLE",0,0,"dataset_3",4,0,0,-1,0,0,"PASSIVE",0,16.56,"IDLE",0,0
72,112.527,20,37.4262,28.4262,48.0753,44.0753,0,"TRACKER_DEGRADED",15.4262,6.42619,4,2,1,6,4,5,"IDLE","none",1.64308,1.48627,0.311774,0,8,"STANDBY",0,"IDLE",0,0,"dataset_3",4,0,0,-1,0,0,"PASSIVE",0,16.53,"IDLE",0,0
73,112.608,20,47.4473,38.4473,40.6208,36.6208,0,"TRACKER_DEGRADED",15.4473,6.44725,4,12,1,6,4,5,"IDLE","none",1.70548,1.56048,0.431341,0,11,"STANDBY",0,"IDLE",0,0,"dataset_3",4,0,0,-1,0,0,"HEATING",1,16.68,"IDLE",0,0
74,112.826,20,37.4671,28.4671,48.2694,44.2694,0,"TRACKER_DEGRADED",15.4671,6.46713,4,2,1,6,4,5,"IDLE","none",1.77917,1.64663,0.204059,0,10,"STANDBY",0,"IDLE",0,0,"dataset_3",4,0,0,-1,0,0,"PASSIVE",0,16.65,"IDLE",0,0
75,113.16,20,37.4853,28.4853,48.5057,44.5057,0,"TRACKER_DEGRADED",15.4853,6.48526,4,2,1,6,4,5,"IDLE","none",1.85996,1.73879,0.0966948,0,11,"STANDBY",0,"IDLE",0,0,"dataset_3",4,0,0,-1,0,0,"PASSIVE",0,16.62,"IDLE",0,0
76,113.583,20,40.5024,31.5024,46.5601,42.5601,0,"CORRECTING",18.5024,6.50237,4,2,1,6,4,5,"IDLE","none",1.94425,1.84034,0.920573,1,24,"STANDBY",0,"IDLE",0,0,"dataset_3",4,0,0,-1,0,0,"PASSIVE",0,16.59,"IDLE",0,0
77,114.067,20,40.5191,31.5191,46.9108,42.9108,0,"CORRECTING",18.5191,6.51912,4,2,1,6,4,5,"IDLE","none",2.02892,1.9368,0.606567,1,20,"STANDBY",0,"IDLE",0,0,"dataset_3",4,0,0,-1,0,0,"PASSIVE",0,16.56,"IDLE",0,0
78,114.582,20,40.5347,31.5347,47.2856,43.2856,0,"CORRECTING",18.5347,6.53466,4,2,1,6,4,5,"IDLE","none",2.11161,2.02998,0.782308,1,20,"STANDBY",0,"IDLE",0,0,"dataset_3",4,0,0,-1,0,0,"PASSIVE",0,16.53,"IDLE",0,0
79,115.097,20,47.5501,38.5501,42.4104,38.4104,0,"TRACKER_DEGRADED",15.5501,6.55005,4,12,1,6,4,5,"IDLE","none",2.19054,2.1138,0.292497,0,23,"STANDBY",0,"IDLE",0,0,"dataset_3",4,0,0,-1,0,0,"HEATING",1,16.68,"IDLE",0,0
0,119.605,20,53.0211,44.0211,41.688,37.688,0,"TRACKER_DEGRADED",13.0211,4.0211,4,2,15,10,4,5,"IDLE","none",1.76288,0.043915,0.103714,0,18,"READY",0,"ACQUIRE",1,0,"",0,1,0,-1,0,0,"PASSIVE",0,17.97,"CORRECTION_BURN",1,0.12
